ccaa_iso,Comunidad,Población (millones de habitantes)
AN,Andalucía,8.414240
AR,Aragón,1.319291
AS,Principado de Asturias,1.022800
CB,Cantabria,0.581078
CE,Ceuta,0.084777
CL,Castilla y León,2.399548
CM,Castilla La Mancha,2.032863
CN,Canarias,2.153389
CT,Cataluña,7.675217
EX,Extremadura,1.067710
GA,Galicia,2.699499
IB,Islas Baleares,1.149460
MC,Región de Murcia,1.493898
MD,Comunidad de Madrid,6.663394
ML,Melilla,0.086487
NC,Comunidad Foral de Navarra,0.654214
PV,País Vasco,2.207776
RI,La Rioja,0.316798
VC,Comunidad Valenciana,5.003769
